Segment,Stops,Origin,Destination,Google Maps driving link,OSRM road miles,OSRM drive minutes,OSRM route URL
1,1-10,"37.5072,-122.2605","37.5646974,-122.3219748",https://www.google.com/maps/dir/?api=1&origin=37.5072%2C-122.2605&destination=37.5646974%2C-122.3219748&waypoints=37.5144279%2C-122.2691135%7C37.518053%2C-122.275614%7C37.5628984%2C-122.2502911%7C37.5237877%2C-122.274092%7C37.5284952%2C-122.2859019%7C37.5438614%2C-122.3064653%7C37.5451128%2C-122.3061123%7C37.5532804%2C-122.3050121%7C37.5539739%2C-122.312981&travelmode=driving,18.9,44,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2691135,37.5144279;-122.275614,37.518053;-122.2502911,37.5628984;-122.274092,37.5237877;-122.2859019,37.5284952;-122.3064653,37.5438614;-122.3061123,37.5451128;-122.3050121,37.5532804;-122.312981,37.5539739;-122.3219748,37.5646974?overview=false&steps=false&continue_straight=false"
2,11-20,"37.5646974,-122.3219748","37.6551075,-122.4091947",https://www.google.com/maps/dir/?api=1&origin=37.5646974%2C-122.3219748&destination=37.6551075%2C-122.4091947&waypoints=37.5659393%2C-122.3234816%7C37.5723178%2C-122.3163165%7C37.5780281%2C-122.3486815%7C37.6002603%2C-122.390826%7C37.6005394%2C-122.3915748%7C37.6009978%2C-122.3909078%7C37.6310442%2C-122.4107516%7C37.655051%2C-122.4107666%7C37.6552002%2C-122.4096955&travelmode=driving,11.7,28,"https://router.project-osrm.org/route/v1/driving/-122.3219748,37.5646974;-122.3234816,37.5659393;-122.3163165,37.5723178;-122.3486815,37.5780281;-122.390826,37.6002603;-122.3915748,37.6005394;-122.3909078,37.6009978;-122.4107516,37.6310442;-122.4107666,37.655051;-122.4096955,37.6552002;-122.4091947,37.6551075?overview=false&steps=false&continue_straight=false"
3,21-30,"37.6551075,-122.4091947","37.7136562,-122.4441007",https://www.google.com/maps/dir/?api=1&origin=37.6551075%2C-122.4091947&destination=37.7136562%2C-122.4441007&waypoints=37.6833547%2C-122.4033116%7C37.6854351%2C-122.4002165%7C37.713618%2C-122.4299824%7C37.7163215%2C-122.4404988%7C37.7160773%2C-122.4407289%7C37.7170081%2C-122.4404279%7C37.7171111%2C-122.4403547%7C37.7172864%2C-122.4401841%7C37.7145798%2C-122.442863&travelmode=driving,8.0,19,"https://router.project-osrm.org/route/v1/driving/-122.4091947,37.6551075;-122.4033116,37.6833547;-122.4002165,37.6854351;-122.4299824,37.713618;-122.4404988,37.7163215;-122.4407289,37.7160773;-122.4404279,37.7170081;-122.4403547,37.7171111;-122.4401841,37.7172864;-122.442863,37.7145798;-122.4441007,37.7136562?overview=false&steps=false&continue_straight=false"
4,31-40,"37.7136562,-122.4441007","37.72434,-122.4574685",https://www.google.com/maps/dir/?api=1&origin=37.7136562%2C-122.4441007&destination=37.72434%2C-122.4574685&waypoints=37.7132683%2C-122.4513388%7C37.712664%2C-122.4520431%7C37.7077001%2C-122.4553949%7C37.7103138%2C-122.467809%7C37.7176073%2C-122.4738585%7C37.7253385%2C-122.4628871%7C37.7249595%2C-122.460229%7C37.7248846%2C-122.4601039%7C37.7243749%2C-122.457672&travelmode=driving,5.6,22,"https://router.project-osrm.org/route/v1/driving/-122.4441007,37.7136562;-122.4513388,37.7132683;-122.4520431,37.712664;-122.4553949,37.7077001;-122.467809,37.7103138;-122.4738585,37.7176073;-122.4628871,37.7253385;-122.460229,37.7249595;-122.4601039,37.7248846;-122.457672,37.7243749;-122.4574685,37.72434?overview=false&steps=false&continue_straight=false"
5,41-50,"37.72434,-122.4574685","37.7337422,-122.4339474",https://www.google.com/maps/dir/?api=1&origin=37.72434%2C-122.4574685&destination=37.7337422%2C-122.4339474&waypoints=37.7241451%2C-122.456606%7C37.7285658%2C-122.4405424%7C37.7248407%2C-122.4345033%7C37.7238039%2C-122.4331839%7C37.7230685%2C-122.4355877%7C37.7228954%2C-122.4357299%7C37.7228625%2C-122.4356598%7C37.7236495%2C-122.4360268%7C37.7221303%2C-122.4369831&travelmode=driving,3.8,13,"https://router.project-osrm.org/route/v1/driving/-122.4574685,37.72434;-122.456606,37.7241451;-122.4405424,37.7285658;-122.4345033,37.7248407;-122.4331839,37.7238039;-122.4355877,37.7230685;-122.4357299,37.7228954;-122.4356598,37.7228625;-122.4360268,37.7236495;-122.4369831,37.7221303;-122.4339474,37.7337422?overview=false&steps=false&continue_straight=false"
6,51-60,"37.7337422,-122.4339474","37.7537035,-122.4194101",https://www.google.com/maps/dir/?api=1&origin=37.7337422%2C-122.4339474&destination=37.7537035%2C-122.4194101&waypoints=37.7344141%2C-122.4336868%7C37.7438558%2C-122.4400485%7C37.7511524%2C-122.4349444%7C37.7514169%2C-122.4304545%7C37.7514343%2C-122.4300466%7C37.7549914%2C-122.4244093%7C37.7552263%2C-122.4206951%7C37.7546061%2C-122.418545%7C37.7537155%2C-122.4192503&travelmode=driving,3.4,13,"https://router.project-osrm.org/route/v1/driving/-122.4339474,37.7337422;-122.4336868,37.7344141;-122.4400485,37.7438558;-122.4349444,37.7511524;-122.4304545,37.7514169;-122.4300466,37.7514343;-122.4244093,37.7549914;-122.4206951,37.7552263;-122.418545,37.7546061;-122.4192503,37.7537155;-122.4194101,37.7537035?overview=false&steps=false&continue_straight=false"
7,61-70,"37.7537035,-122.4194101","37.7528837,-122.4095057",https://www.google.com/maps/dir/?api=1&origin=37.7537035%2C-122.4194101&destination=37.7528837%2C-122.4095057&waypoints=37.7534917%2C-122.4184106%7C37.7524447%2C-122.4166827%7C37.7524827%2C-122.4161477%7C37.7524894%2C-122.415943%7C37.7524149%2C-122.4139425%7C37.7527694%2C-122.4123095%7C37.7526088%2C-122.4107754%7C37.7526227%2C-122.4104911%7C37.7528599%2C-122.4097129&travelmode=driving,0.7,3,"https://router.project-osrm.org/route/v1/driving/-122.4194101,37.7537035;-122.4184106,37.7534917;-122.4166827,37.7524447;-122.4161477,37.7524827;-122.415943,37.7524894;-122.4139425,37.7524149;-122.4123095,37.7527694;-122.4107754,37.7526088;-122.4104911,37.7526227;-122.4097129,37.7528599;-122.4095057,37.7528837?overview=false&steps=false&continue_straight=false"
8,71-80,"37.7528837,-122.4095057","37.7458729,-122.4195471",https://www.google.com/maps/dir/?api=1&origin=37.7528837%2C-122.4095057&destination=37.7458729%2C-122.4195471&waypoints=37.7508668%2C-122.4162912%7C37.7512446%2C-122.4181975%7C37.7515184%2C-122.4182266%7C37.7507774%2C-122.4184591%7C37.7507165%2C-122.4187507%7C37.7499624%2C-122.4180749%7C37.7484001%2C-122.4179396%7C37.747125%2C-122.418745%7C37.7463714%2C-122.4195588&travelmode=driving,1.3,5,"https://router.project-osrm.org/route/v1/driving/-122.4095057,37.7528837;-122.4162912,37.7508668;-122.4181975,37.7512446;-122.4182266,37.7515184;-122.4184591,37.7507774;-122.4187507,37.7507165;-122.4180749,37.7499624;-122.4179396,37.7484001;-122.418745,37.747125;-122.4195588,37.7463714;-122.4195471,37.7458729?overview=false&steps=false&continue_straight=false"
9,81-90,"37.7458729,-122.4195471","37.7590584,-122.4189511",https://www.google.com/maps/dir/?api=1&origin=37.7458729%2C-122.4195471&destination=37.7590584%2C-122.4189511&waypoints=37.7453358%2C-122.4198917%7C37.7453753%2C-122.4202222%7C37.7501192%2C-122.4201265%7C37.7522237%2C-122.4203687%7C37.7522296%2C-122.4202774%7C37.7554153%2C-122.4175471%7C37.7554244%2C-122.4174517%7C37.7580398%2C-122.4191698%7C37.7585218%2C-122.4195545&travelmode=driving,1.5,7,"https://router.project-osrm.org/route/v1/driving/-122.4195471,37.7458729;-122.4198917,37.7453358;-122.4202222,37.7453753;-122.4201265,37.7501192;-122.4203687,37.7522237;-122.4202774,37.7522296;-122.4175471,37.7554153;-122.4174517,37.7554244;-122.4191698,37.7580398;-122.4195545,37.7585218;-122.4189511,37.7590584?overview=false&steps=false&continue_straight=false"
10,91-100,"37.7590584,-122.4189511","37.7598361,-122.4235009",https://www.google.com/maps/dir/?api=1&origin=37.7590584%2C-122.4189511&destination=37.7598361%2C-122.4235009&waypoints=37.7591137%2C-122.4189578%7C37.7589098%2C-122.4172628%7C37.7606887%2C-122.4191066%7C37.7608708%2C-122.4191191%7C37.762516%2C-122.4196106%7C37.7637916%2C-122.4216261%7C37.7648125%2C-122.4214001%7C37.7648565%2C-122.4249358%7C37.7630225%2C-122.4241568&travelmode=driving,2.1,8,"https://router.project-osrm.org/route/v1/driving/-122.4189511,37.7590584;-122.4189578,37.7591137;-122.4172628,37.7589098;-122.4191066,37.7606887;-122.4191191,37.7608708;-122.4196106,37.762516;-122.4216261,37.7637916;-122.4214001,37.7648125;-122.4249358,37.7648565;-122.4241568,37.7630225;-122.4235009,37.7598361?overview=false&steps=false&continue_straight=false"
