Route stop,Business,Address,Phone,Category,Owned website found,Evidence
32,Stuttgart Motors,"2315 El Camino Real, Redwood City, 94063",(650) 364-2989,car_repair,https://www.stuttgart-motors.com/,"Stuttgart Motors | Redwood City, CA | Verified Customer Reviews (surecritic.com) [domain does not match business name tokens] | Stuttgart Motors - Redwood City - (650) 364-2989 (et.cybo.com) [domain does not match business name tokens] | Stuttgart Motors | Schedule Your Service Today (stuttgart-motors.com) [domain/name match; phone=True; city=True; address_tokens=6]"
34,HK Smog,"24 Willow Street, Redwood City, 94063",(650) 216-0051,car_repair,http://hksmog.com/,HK Smog (hksmog.com) [domain/name match; phone=True; city=True; address_tokens=4]
39,US Chinese Food,"2490 El Camino Real, Redwood City, 94063",(650) 364-7782,restaurant,http://uschinesefood.com/,"US Chinese Food - Redwood City - A Better PlacesOnline Menu of US Chinese Food Restaurant, Redwood City ...US Chinese Food Menu - Redwood City, CAUS CHINESE FOOD - Redwood City, CA - Grubhub (a-better-place.com) [domain does not match business name tokens] | US Chinese Food | Chinese restaurant Redwood City | 4.1 Stars (uschinesefood.com) [domain/name match; phone=True; city=True; address_tokens=6]"
69,Mikado,"161 Main Street, Los Altos",(650) 917-8388,restaurant,https://mikadolosaltos.com/,"Mikado, 161 Main St Los Altos, CA 94022 | Online order from Mikado... (mikadolosaltos.com) [domain/name match; phone=True; city=True; address_tokens=4]"
124,Hollywood Nails,"1639 South Bascom Avenue, Campbell, California, 95008 (reverse-geocoded approximate)",(408) 377-8185,beauty,https://www.hollywoodnailscampbell.com/,HOME | Hollywood Nails Salo (hollywoodnailscampbell.com) [domain/name match; phone=False; city=True; address_tokens=3]
135,BYLT,"333 Santana Row, San Jose, CA, 95128",(669) 900-4500,clothes,https://byltbasics.com/pages/bylt-retail-stores,Shop - Santana Row (santanarow.com) [domain does not match business name tokens] | Santana Row Mall Directory (gotmagazine.com) [domain does not match business name tokens] | BYLT Retail Store | BYLT Basics® - Premium Basics (byltbasics.com) [domain/name match; phone=True; city=True; address_tokens=6]
184,WOW Dental,"2147 Morrill Avenue, San Jose, 95132",(408) 586-8822,dentist,https://wowdental.net/,WOW Dental San Jose | Dr. Bhawna Gupta Family Dentist (wowdental.net) [domain/name match; phone=True; city=True; address_tokens=5]
185,Lalas Dental,"3072 Landess Avenue, San Jose, 95132",(408) 719-8500,dentist,https://www.lalasdental.com/,Lalas Dental - Dentist San Jose CA | Cosmetic Dentistry (lalasdental.com) [domain/name match; phone=True; city=True; address_tokens=4]
193,Forever Beauty Hair And Nails,"1475 Landess Avenue, Milpitas, CA, 95035",(408) 263-4929,beauty,https://www.foreverbeautysalon.com/contact-us,"Forever Beauty Hair and Nails is a Nail Salon in Milpitas, CA ... (milpitasnailsalon.com) [domain does not match business name tokens] | Forever Beauty Hair and Nails In Milpitas CA | Contact Us (foreverbeautysalon.com) [domain/name match; phone=True; city=True; address_tokens=4]"
195,Advanced Verterinary Medical Center,"800 East Capitol Avenue, Milpitas",(408) 956-8061,veterinary,https://advancedvmc.net/,"Advanced Veterinary Medical Center - Milpitas, CA - YelpAdvanced Veterinary Medical Center in Milpitas, CA 95035 ...Advanced Veterinary Medical Center | Milpitas CA - FacebookADVANCED VETERINARY MEDICAL CENTER - Milpitas CA - Hours ...Advanced Veterinary Medical Center - Milpitas, CA 95035Advanced Veterinary Medical Center - Veterinarian in Milpitas ... (yelp.com) [directory/profile domain] | Advanced Veterinary Medical Center in Milpitas, CA 95035 ... (chamberofcommerce.com) [directory/profile domain] | Advanced Veterinary Medical Center | Milpitas CA - FacebookADVANCED VETERINARY MEDICAL CENTER - Milpitas CA - Hours ...Advanced Veterinary Medical Center - Milpitas, CA 95035Advanced Veterinary Medical Center - Veterinarian in Milpitas ... (facebook.com) [directory/profile domain] | ADVANCED VETERINARY MEDICAL CENTER - Milpitas CA - Hours ... (loc8nearme.com) [directory/profile domain] | Advanced Veterinary Medical Center - Milpitas, CA 95035 (yellowpages.com) [directory/profile domain] | Advanced Veterinary Medical Center - Veterinarian in Milpitas ... (scrubby.app) [domain does not match business name tokens]"
204,Sushi Pro,"1078 East Brokaw Road, San Jose, CA, 95131",(408) 564-4953,restaurant,https://sushiprosj.com/?item=fiji,"Sushi Pro - San Jose, CA (sushiprosj.com) [domain/name match; phone=True; city=True; address_tokens=2]"
217,Taquería “El Caminito”,"782 North 13th Street, San Jose, CA, 95112",(408) 295-1471,restaurant,http://www.taqueriasanjose.com/,"El Caminito Taqueria, 782 North 13th Street, San Jose, CA - Groupon (groupon.com) [directory/profile domain] | TAQUERIA EL CORAL, San Jose - 5899 Santa Teresa... - Tripadvisor (tripadvisor.com) [directory/profile domain] | Taqueria San Jose - Home (taqueriasanjose.com) [domain/name match; phone=False; city=True; address_tokens=2]"
249,Santa Clara Tint Wrap & Carpet Coloring,"3295 El Camino Real, Santa Clara, CA, 95051",(408) 684-0083,car_repair,https://www.santaclaratintingshop.com/,"Santa Clara Tint Wrap & Carpet Coloring - Santa Clara, CAHome | Santa Clara TintingSanta Clara Tinting, Car wrap, Auto Detailing and Carpet ...Santa Clara Tint Wrap & Carpet Coloring - Official MapQuestSanta Clara Tinting, Car wrap, Auto Detailing and Carpet ...Santa Clara Tinting Car wrap Auto Detailing & Carpet Coloring ...Santa Clara Tinting, Car wrap, Auto Detailing and Carpet ... (yelp.com) [directory/profile domain] | Home | Santa Clara Tinting (santaclaratintingshop.com) [domain/name match; phone=True; city=True; address_tokens=6]"
275,Sen Dai Sushi,"224 North Abel Street, Milpitas, CA, 95035",(408) 263-1472,restaurant,https://www.sendai-sushi.com/,Sen Dai Sushi - Home (sendai-sushi.com) [domain/name match; phone=True; city=True; address_tokens=4]
287,Be My Nails,"1281 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 946-6245,beauty,https://bemynails.com/manicures,"Be My Nails | Address: 1281 E Calaveras Blvd, Milpitas, CA 95035 (bemynails.com) [domain/name match; phone=False; city=True; address_tokens=4]"
292,MM Barbershop,"465 Jacklin Road, Milpitas, CA, 95035",(408) 649-3434,hairdresser,https://www.mmbarbershopskincare.com/,MMBarberShop&HairSkincare (mmbarbershopskincare.com) [domain/name match; phone=True; city=True; address_tokens=4]
294,Loved And Lashed,"1468 North Milpitas Boulevard, Milpitas, CA",(510) 789-7478,beauty,https://lovedandlashed.com/,Premium Lash Supplies & Lash Training – Loved and Lashed (lovedandlashed.com) [domain/name match; phone=True; city=False; address_tokens=1]
297,Chick & Tea,"1723 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 770-2268,restaurant,https://www.chick-tea.com/,Home | Chick and Tea (chick-tea.com) [domain/name match; phone=True; city=False; address_tokens=0]
319,Sushi Ken,39156 Paseo Padre Parkway,(510) 894-1698,restaurant,https://sushikenus.com/,Sushi ken | JAPANESE FOOD IN fremont (sushikenus.com) [domain/name match; phone=True; city=False; address_tokens=3]
340,Mad for Sushi,7222 Regional Street,(925) 248-8915,restaurant,https://madforsushi.com/,Mad For Sushi – Best Japanese Experience in Dublin (madforsushi.com) [domain/name match; phone=True; city=False; address_tokens=2]
