Business,Address,Owned website found
Gen Korean BBQ,"2540 West El Camino Real, Mountain View, CA, 94040",https://www.genkoreanbbq.com/
City Sports Signature Club,1040 Grant Road,https://citysportsfitness.com/Pages/clubhome.aspx?Mountain=&clubid=1085
Sheng Kee Bakery,"1842 North Milpitas Boulevard, Milpitas, CA, 95035",https://www.shengkee.com/
Yank Sing,49 Stevenson Street,https://yanksing.com/
Zazie,"941 Cole Street, San Francisco, CA, 94117",http://www.zaziesf.com/
Center Hardware,"3003;3095 3rd Street, San Francisco, CA, 94107-3505",https://www.centerhardware.com/
Limón,"1101 Burlingame Avenue, Burlingame, CA",https://www.limonrotisserie.com/
Jack's Restaurant,"1750 South El Camino Real, San Mateo, CA, 94402",http://ilovejacks.com/
Sheng Kee,"34332 Alvarado-Niles Road, Union City, 94587",https://www.shengkee.com/
Sereno Group,"214 Los Gatos Sartoga Road, Los Gatos, CA, 95030",https://www.sereno.com/offices/los-gatos
