Route stop,Business,Address,Latitude,Longitude,Straight-line miles from San Carlos,OSRM road miles from San Carlos,OSRM drive minutes from San Carlos,Within 90 minute drive,OSRM query,Audit status
1,MO's Deli & Cafe,"1602 El Camino Real, Belmont, 94002",37.5144279,-122.2691135,0.7,1.2,3.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2691135,37.5144279?overview=false&steps=false&alternatives=false",OK
2,Michele's Hair Care,1201 6th Avenue,37.518053,-122.275614,1.1,1.4,4.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.275614,37.518053?overview=false&steps=false&alternatives=false",OK
3,Pilgrim Kitchen,"311 El Camino Real, Belmont, CA, 94002",37.5284952,-122.2859019,2.0,2.2,5.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2859019,37.5284952?overview=false&steps=false&alternatives=false",OK
4,Belmont Dental,Masonic Way,37.5237877,-122.274092,1.4,1.7,5.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.274092,37.5237877?overview=false&steps=false&alternatives=false",OK
5,SeeU Cafe,"1465 Beach Park Boulevard, Foster City, 94404",37.5628984,-122.2502911,3.9,7.1,13.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2502911,37.5628984?overview=false&steps=false&alternatives=false",OK
6,Java Blue (Patio Coffee Shop),"25 West 25th Avenue, 94403",37.5438614,-122.3064653,3.6,3.8,9.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3064653,37.5438614?overview=false&steps=false&alternatives=false",OK
7,Sunesy Hair Design,"South El Camino Real, San Mateo, California, 94402 (reverse-geocoded approximate)",37.5451128,-122.3061123,3.6,3.8,9.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3061123,37.5451128?overview=false&steps=false&alternatives=false",OK
8,The Pantry,"1855 South Delaware Street, San Mateo, CA, 94402",37.5532804,-122.3050121,4.0,5.3,8.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3050121,37.5532804?overview=false&steps=false&alternatives=false",OK
9,Bucky’s Cocktail Lounge,"101 South Boulevard, San Mateo, CA",37.5539739,-122.312981,4.3,5.7,9.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.312981,37.5539739?overview=false&steps=false&alternatives=false",OK
10,Spiedo Restaurant,223 East 4th Avenue,37.5646974,-122.3219748,5.2,6.4,10.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3219748,37.5646974?overview=false&steps=false&alternatives=false",OK
