Route stop,Business,GitHub Pages link,HTTP status,Audit status
1,Plantation Coffee Roastery,https://axel-slid.github.io/bay-area-final-1000-websites/plantation-coffee-roastery-bay-area/,200,PASS
2,Elegant Hair & Nail Salon,https://axel-slid.github.io/bay-area-final-1000-websites/elegant-hair-nail-salon-san-carlos/,200,PASS
3,Hair Pro,https://axel-slid.github.io/bay-area-final-1000-websites/hair-pro-redwood-city/,200,PASS
4,Estampas Peruanas,https://axel-slid.github.io/bay-area-final-1000-websites/estampas-peruanas-redwood-city/,200,PASS
5,Fabulous Hair & Nails,https://axel-slid.github.io/bay-area-final-1000-websites/fabulous-hair-nails-redwood-city/,200,PASS
6,Shiny Nails,https://axel-slid.github.io/bay-area-final-1000-websites/shiny-nails-redwood-city/,200,PASS
7,Naranjo's Taqueria,https://axel-slid.github.io/bay-area-final-1000-websites/naranjos-taqueria-redwood-city/,200,PASS
8,Peninsula Uniforms & Equipment,https://axel-slid.github.io/bay-area-final-1000-websites/peninsula-uniforms-equipment-redwood-city/,200,PASS
9,Kemuri Japanese Barú,https://axel-slid.github.io/bay-area-final-1000-websites/kemuri-japanese-baru-redwood-city/,200,PASS
10,Bluefin Sushi & Teriyaki Grill,https://axel-slid.github.io/bay-area-final-1000-websites/bluefin-sushi-teriyaki-grill-redwood-city/,200,PASS
11,Découpage Hair,https://axel-slid.github.io/bay-area-final-1000-websites/decoupage-hair-redwood-city/,200,PASS
12,Memole & Company,https://axel-slid.github.io/bay-area-final-1000-websites/memole-company-redwood-city/,200,PASS
13,Perfect 10 Nails,https://axel-slid.github.io/bay-area-final-1000-websites/perfect-10-nails-redwood-city/,200,PASS
14,Happy Donuts,https://axel-slid.github.io/bay-area-final-1000-websites/happy-donuts-redwood-city/,200,PASS
15,Perfectly Cut,https://axel-slid.github.io/bay-area-final-1000-websites/perfectly-cut-redwood-city/,200,PASS
16,Muffler Express,https://axel-slid.github.io/bay-area-final-1000-websites/muffler-express-redwood-city/,200,PASS
17,Lynn Auto Machine,https://axel-slid.github.io/bay-area-final-1000-websites/lynn-auto-machine-redwood-city/,200,PASS
18,Nails Trix Salon,https://axel-slid.github.io/bay-area-final-1000-websites/nails-trix-salon-redwood-city/,200,PASS
19,Primo Auto Service,https://axel-slid.github.io/bay-area-final-1000-websites/primo-auto-service-redwood-city/,200,PASS
20,Wash & Dry Coin Laundry,https://axel-slid.github.io/bay-area-final-1000-websites/wash-dry-coin-laundry-redwood-city/,200,PASS
21,Faby's Jewelers,https://axel-slid.github.io/bay-area-final-1000-websites/fabys-jewelers-redwood-city/,200,PASS
22,Los Temos Taqueria,https://axel-slid.github.io/bay-area-final-1000-websites/los-temos-taqueria-redwood-city/,200,PASS
23,Languren's Beauty Salon,https://axel-slid.github.io/bay-area-final-1000-websites/langurens-beauty-salon-redwood-city/,200,PASS
24,El Zarape,https://axel-slid.github.io/bay-area-final-1000-websites/el-zarape-redwood-city/,200,PASS
25,Elio's Jewelry,https://axel-slid.github.io/bay-area-final-1000-websites/elios-jewelry-redwood-city/,200,PASS
26,Ben's Auto Tech,https://axel-slid.github.io/bay-area-final-1000-websites/bens-auto-tech-redwood-city/,200,PASS
27,Family Wash and Fold,https://axel-slid.github.io/bay-area-final-1000-websites/family-wash-and-fold-redwood-city/,200,PASS
28,F.C. Painting,https://axel-slid.github.io/bay-area-final-1000-websites/fc-painting-redwood-city/,200,PASS
29,Tammy's Joyeria y Paqueteria,https://axel-slid.github.io/bay-area-final-1000-websites/tammys-joyeria-y-paqueteria-redwood-city/,200,PASS
30,Chu's Florist & Birds,https://axel-slid.github.io/bay-area-final-1000-websites/chus-florist-birds-redwood-city/,200,PASS
31,Ray's Auto Repair,https://axel-slid.github.io/bay-area-final-1000-websites/rays-auto-repair-redwood-city/,200,PASS
33,Castillo's Auto Electric,https://axel-slid.github.io/bay-area-final-1000-websites/castillos-auto-electric-redwood-city/,200,PASS
35,Padilla's Auto Repair,https://axel-slid.github.io/bay-area-final-1000-websites/padillas-auto-repair-redwood-city/,200,PASS
36,El Camino Auto Body,https://axel-slid.github.io/bay-area-final-1000-websites/el-camino-auto-body-redwood-city/,200,PASS
37,Beauty Touch Salon,https://axel-slid.github.io/bay-area-final-1000-websites/beauty-touch-salon-redwood-city/,200,PASS
38,Laluces Dental,https://axel-slid.github.io/bay-area-final-1000-websites/laluces-dental-redwood-city/,200,PASS
40,Nor Cal Collision,https://axel-slid.github.io/bay-area-final-1000-websites/nor-cal-collision-redwood-city/,200,PASS
41,Capelli Beauty,https://axel-slid.github.io/bay-area-final-1000-websites/capelli-beauty-redwood-city/,200,PASS
42,Tacos El Camino,https://axel-slid.github.io/bay-area-final-1000-websites/tacos-el-camino-redwood-city/,200,PASS
43,KY's Auto Repair,https://axel-slid.github.io/bay-area-final-1000-websites/kys-auto-repair-redwood-city/,200,PASS
44,La Costa,https://axel-slid.github.io/bay-area-final-1000-websites/la-costa-redwood-city/,200,PASS
45,New Age Hair & Nail Spa,https://axel-slid.github.io/bay-area-final-1000-websites/new-age-hair-nail-spa-redwood-city/,200,PASS
46,Karlita's Taco Place,https://axel-slid.github.io/bay-area-final-1000-websites/karlitas-taco-place-redwood-city/,200,PASS
47,Men Haircuts by Lilian,https://axel-slid.github.io/bay-area-final-1000-websites/men-haircuts-by-lilian-redwood-city/,200,PASS
48,Diner Japonica,https://axel-slid.github.io/bay-area-final-1000-websites/diner-japonica-redwood-city/,200,PASS
49,Villa Roma Cocktail Lounge,https://axel-slid.github.io/bay-area-final-1000-websites/villa-roma-cocktail-lounge-redwood-city/,200,PASS
50,Family Hair Salon,https://axel-slid.github.io/bay-area-final-1000-websites/family-hair-salon-redwood-city/,200,PASS
