Route stop,Business,Address,Phone,Category,Google query,Owned website search status,Owned website found,Evidence
1,Plantation Coffee Roastery,784 Laurel Street,(650) 592-3710,cafe,"""Plantation Coffee Roastery"" ""(650) 592-3710"" official website",ATTEMPTED - no likely owned-site hit,,"Plantation Coffee Roastery | Visit Half Moon Bay (visithalfmoonbay.org) [domain does not match business name tokens] | PLANTATION Coffee Roastery - Coffee shop in San Carlos - Website (plantation-coffee-roastery.weeblyte.com) [domain does not match business name tokens] | Order PLANTATION COFFEE ROASTERY - San Carlos... - DoorDash (doordash.com) [directory/profile domain] | What’s brewing? 10 Peninsula coffee roasters for beans and beverages (rwcpulse.com) [domain does not match business name tokens] | Plantation Coffee Roastery, 784 Laurel St, San Carlos... - MapQuest (mapquest.com) [directory/profile domain] | Menus for Plantation Coffee Roastery - San Carlos - SinglePlatform (places.singleplatform.com) [domain does not match business name tokens]"
2,Elegant Hair & Nail Salon,"1344 El Camino Real, San Carlos, CA, 94070",(650) 593-5936,beauty,"""Elegant Hair & Nail Salon"" ""San Carlos"" ""(650) 593-5936"" official website",ATTEMPTED - no likely owned-site hit,,"Elegant Hair & Nail Salon of San Carlos, California ... (elegant-hair-nail-salon.redwoodcitydirect.us) [directory/profile domain] | Elegant Hair & Nails - San Carlos, CA 94070 - The Real Yellow ...ELEGANT HAIR & NAIL SALON - San Carlos CA - Hours, Directions ...Elegant Hair & Nail Salon - 1344 El Camino Real, San Carlos ...Elegant Nails - San Carlos, CA - YelpElegant Hair & Nail Salon, San Carlos, CA - Reviews (61 ...Thuong Nguyen - San Carlos, California, Elegant Hair & Nail ... (yellowpages.com) [directory/profile domain] | ELEGANT HAIR & NAIL SALON - San Carlos CA - Hours, Directions ... (loc8nearme.com) [directory/profile domain] | Elegant Hair & Nail Salon - 1344 El Camino Real, San Carlos ...Elegant Nails - San Carlos, CA - YelpElegant Hair & Nail Salon, San Carlos, CA - Reviews (61 ...Thuong Nguyen - San Carlos, California, Elegant Hair & Nail ... (fresha.com) [directory/profile domain] | Elegant Nails - San Carlos, CA - YelpElegant Hair & Nail Salon, San Carlos, CA - Reviews (61 ...Thuong Nguyen - San Carlos, California, Elegant Hair & Nail ... (yelp.com) [directory/profile domain] | Elegant Hair & Nail Salon, San Carlos, CA - Reviews (61 ... (bestprosintown.com) [directory/profile domain]"
3,Hair Pro,"912 Whipple Avenue, Redwood City, CA, 94063",(650) 367-8010,hairdresser,"""Hair Pro"" ""Redwood City"" ""(650) 367-8010"" official website",ATTEMPTED - no likely owned-site hit,,Link to facebook.com (facebook.com) [directory/profile domain] | Link to facebook.com (facebook.com) [directory/profile domain]
4,Estampas Peruanas,"715 El Camino Real, Redwood City",(650) 368-9340,restaurant,"""Estampas Peruanas"" ""Redwood City"" ""(650) 368-9340"" official website",ATTEMPTED - no likely owned-site hit,,"Estampas Peruanas Restaurant | Redwood City Improvement... (visitrwc.org) [directory/profile domain] | ESTAMPAS PERUANAS RESTAURANT, Redwood City... - Tripadvisor (tripadvisor.com) [directory/profile domain] | Estampas Peruanas Restaurant Delivery Menu | 715 El... - DoorDash (doordash.com) [directory/profile domain] | Estampas Peruanas Restaurant, Redwood City - Restaurant menu... (restaurantguru.com) [directory/profile domain] | Estampas Peruanas Restaurant, 715 El Camino Real, Redwood City... (mapquest.com) [directory/profile domain] | 18 Best Restaurants in Redwood City, CA... - Eat The Way (eattheway.com) [domain does not match business name tokens]"
5,Fabulous Hair & Nails,"2740 Broadway, Redwood City",(650) 556-9993,hairdresser,"""Fabulous Hair & Nails"" ""Redwood City"" ""(650) 556-9993"" official website",ATTEMPTED - no likely owned-site hit,,"Best 30 Nail Salons in Redwood City, CA... | The Real Yellow Pages (yellowpages.com) [directory/profile domain] | Best Nail Salons near me in Redwood Village, San Francisco | Fresha (fresha.com) [directory/profile domain] | Redwood City CA Nails Spa and Salons | NailsCentre.com (nailscentre.com) [domain does not match business name tokens] | Skin Care in Redwood City, CA (ilookbetter.com) [domain does not match business name tokens]"
6,Shiny Nails,"2649 Broadway, Redwood City, 94063",(650) 366-1077,beauty,"""Shiny Nails"" ""Redwood City"" ""(650) 366-1077"" official website",ATTEMPTED - no likely owned-site hit,,"SHINY NAILS - Redwood City CA - Hours, Directions, Reviews ... (loc8nearme.com) [directory/profile domain] | Shiny Nails in Redwood City, CA 94063 - 650-366...Shiny Nails - Redwood City, CA 94063 - Services and ReviewsShiny Nails | (650) 366-1077 | Redwood City, California - AllBizShiny Nails - Redwood City, CA (California) - (650) 366-1077 ...Shiny Nails - Redwood City, CA 94063 - The Real Yellow Pages (chamberofcommerce.com) [directory/profile domain] | Shiny Nails - Redwood City, CA 94063 - Services and Reviews (salondiscover.com) [directory/profile domain] | Shiny Nails | (650) 366-1077 | Redwood City, California - AllBizShiny Nails - Redwood City, CA (California) - (650) 366-1077 ...Shiny Nails - Redwood City, CA 94063 - The Real Yellow Pages (allbiz.com) [directory/profile domain] | Shiny Nails - Redwood City, CA (California) - (650) 366-1077 ... (411.info) [domain does not match business name tokens] | Shiny Nails - Redwood City, CA 94063 - The Real Yellow Pages (yellowpages.com) [directory/profile domain]"
7,Naranjo's Taqueria,"2647 Broadway, Redwood City, 94063",(650) 369-9196,fast_food,"""Naranjo's Taqueria"" ""Redwood City"" ""(650) 369-9196"" official website",ATTEMPTED - no likely owned-site hit,,Naranjo’s Taqueria | Redwood City Improvement Association (visitrwc.org) [directory/profile domain]
8,Peninsula Uniforms & Equipment,"2626 Broadway, Redwood City, 94063",(650) 701-0911,clothes,"""Peninsula Uniforms & Equipment"" ""Redwood City"" ""(650) 701-0911"" official website",ATTEMPTED - no likely owned-site hit,,"Peninsula Uniforms & Equipment | Redwood City Improvement... (visitrwc.org) [directory/profile domain] | Peninsula Uniforms & Equipment, Inc. | (650) 701-0911 ... (allbiz.com) [directory/profile domain] | Peninsula Uniforms & Equipment, Inc. in Redwood City, CA ... (chamberofcommerce.com) [directory/profile domain] | Peninsula Uniforms & Equipment, Inc. (peninsula-inc.edan.io) [domain does not match business name tokens] | PENINSULA UNIFORMS & EQUIPMENT, INC. - Redwood City CA ... (loc8nearme.com) [directory/profile domain] | Peninsula Uniforms & Equipment Inc - Redwood City, CA 94063 (yellowpages.com) [directory/profile domain]"
9,Kemuri Japanese Barú,"2616 Broadway, Redwood City, 94063",(650) 298-0015,restaurant,"""Kemuri Japanese Barú"" ""Redwood City"" ""(650) 298-0015"" official website",ATTEMPTED - no likely owned-site hit,,"Kemuri Japanese Barú - Redwood City, CA - YelpKemuri Japanese Barú | Redwood City CA - FacebookKemuri Japanese Barú in Redwood City, CA – Reviews, Hours ...Kemuri Japanese Barú Redwood City, CA 94063 | Explore Menu ...Kemuri Japanese Barú Menu - Redwood City, CAKemuri Japanese Barú - Updated September 2025Kemuri Japanese Barú, Redwood City - Menu, Reviews (227 ... (yelp.com) [directory/profile domain] | Kemuri Japanese Barú | Redwood City CA - Facebook (facebook.com) [directory/profile domain] | Kemuri Japanese Barú in Redwood City, CA – Reviews, Hours ... (local.yahoo.com) [directory/profile domain] | Kemuri Japanese Barú Redwood City, CA 94063 | Explore Menu ... (kemuri-japanese-baru.cuba-cafe.com) [domain does not match business name tokens] | Kemuri Japanese Barú Menu - Redwood City, CA (roostcafeandbistro.com) [directory/profile domain] | Kemuri Japanese Barú - Updated September 2025 (checkle.com) [domain does not match business name tokens]"
10,Bluefin Sushi & Teriyaki Grill,"2327 Broadway, Redwood City, 94063",(650) 361-1160,restaurant,"""Bluefin Sushi & Teriyaki Grill"" ""Redwood City"" ""(650) 361-1160"" official website",ATTEMPTED - no likely owned-site hit,,"Bluefin Sushi & Teriyaki Grill, Redwood City - Menu, Reviews ...Bluefin Sushi & Teriyaki Grill in Redwood City, CA 94061 ...Bluefin Sushi & Teriyaki Grill Menu – Redwood City, CABluefin Sushi & Teriyaki Grill - Sushi SeekOnline Menu of Bluefin Sushi & Teriyaki Grill Restaurant ... (restaurantji.com) [directory/profile domain] | Bluefin Sushi & Teriyaki Grill in 2327 Redwood Ave, Redwood City... (edan.io) [domain does not match business name tokens] | Bluefin Sushi Teriyaki Grill: A Hidden Gem in Redwood City (bluefin-sushi-teriyaki-grill.restaurants-world.com) [domain does not match business name tokens] | Redwood City (guides.travel.sygic.com) [domain does not match business name tokens] | Redwood City – Travel guide at Wikivoyage (en.wikivoyage.org) [domain does not match business name tokens] | Blue Fin Sushi - Redwood City, CABluefin Sushi & Teriyaki Grill | 2327 Redwood Ave, Redwood ...Bluefin Sushi & Teriyaki Grill, Redwood City - Menu, Reviews ...Bluefin Sushi & Teriyaki Grill in Redwood City, CA 94061 ...Bluefin Sushi & Teriyaki Grill Menu – Redwood City, CABluefin Sushi & Teriyaki Grill - Sushi SeekOnline Menu of Bluefin Sushi & Teriyaki Grill Restaurant ... (yelp.com) [directory/profile domain]"
