Route stop,Business,Address,Phone,Category,Owned website search status,Raw owned-site candidate,Search evidence
1,MO's Deli & Cafe,"1602 El Camino Real, Belmont, 94002",(650) 226-7520,cafe,RAW HIT REVIEWED - not confirmed owned site,https://www.localcoffeeshops.org/shop/california/san-carlos/plantation-coffee-roastery,"PLANTATION Coffee Roastery in San Carlos, CA 94070 - 650-592... (chamberofcommerce.com) | PLANTATION Coffee Roastery - San Carlos, CaliforniaPLANTATION Coffee Roastery - Coffee, Bagels & Treats in San ...Plantation Coffee Roastery - San Carlos, CAPlantation Coffee Roastery, 784 Laurel St, San Carlos, CA ...Plantation Coffee Roastery in San Carlos, CA United States ...PLANTATION Coffee Roastery, San Carlos - Menu, Reviews (142 ... (localcoffeeshops.org)"
2,Michele's Hair Care,1201 6th Avenue,(650) 593-0584,hairdresser,ATTEMPTED - no likely owned-site hit,,"Elegant Hair & Nail Salon (eleganthairandnail.zumvu.com) | Best Nail Salons near me in Palomar Park, San Francisco | Fresha (fresha.com) | Beauty salon in San Carlos (san-carlos.calstatedir.com)"
3,SeeU Cafe,"1465 Beach Park Boulevard, Foster City, 94404",(650) 357-0088,cafe,ATTEMPTED - no likely owned-site hit,,
4,Belmont Dental,Masonic Way,(650) 593-5110,dentist,ATTEMPTED - no likely owned-site hit,,"Estampas Peruanas Restaurant | Redwood City CA - FacebookEstampas Peruanas RestaurantEstampas Peruanas Restaurant, Redwood City - Menu, Reviews ...Estampas Peruanas Restaurant, 715 El Camino Real, Redwood ...Estampas Peruanas Restaurant in Redwood City, CA 94063 - 650 ...Estampas Peruanas Restaurant - Food CAEstampas Peruanas Restaurant - Redwood City - A Better Places (facebook.com) | Estampas Peruanas RestaurantEstampas Peruanas Restaurant, Redwood City - Menu, Reviews ...Estampas Peruanas Restaurant, 715 El Camino Real, Redwood ...Estampas Peruanas Restaurant in Redwood City, CA 94063 - 650 ...Estampas Peruanas Restaurant - Food CAEstampas Peruanas Restaurant - Redwood City - A Better Places (yelp.com) | Estampas Peruanas Restaurant, Redwood City - Menu, Reviews ... (restaurantji.com) | Estampas Peruanas Restaurant, 715 El Camino Real, Redwood ... (findglocal.com) | Estampas Peruanas Restaurant in Redwood City, CA 94063 - 650 ... (chamberofcommerce.com)"
5,Pilgrim Kitchen,"311 El Camino Real, Belmont, CA, 94002",(650) 592-0638,bakery,ATTEMPTED - no likely owned-site hit,,"Best 30 Nail Salons in Redwood City, CA... | The Real Yellow Pages (yellowpages.com) | Redwood City CA Nails Spa and Salons | NailsCentre.com (nailscentre.com) | Best Nail Salons near me in Redwood Village, San Francisco | Fresha (fresha.com) | Skin Care in Redwood City, CA (ilookbetter.com) | Fabulous Hair & Nails in Redwood City, CA 94062 - 650-556... (chamberofcommerce.com)"
6,Java Blue (Patio Coffee Shop),"25 West 25th Avenue, 94403",(650) 570-3037,restaurant,ATTEMPTED - no likely owned-site hit,,"Java Blue: Beloved Neighborhood Spot for Authentic Breakfast ... (java-blue.res-menu.net) | JAVA BLUE - Updated April 2026 - 11 Photos - 25 W 25th Ave ... (yelp.com) | Java Blue in San Mateo, CA 94403 - Chamber of CommerceJava Blue in San Mateo, CA – Reviews, Hours, and ... - YahooJava Blue - Updated November 2025 - CheckleJava Blue Cafe (chamberofcommerce.com) | Java Blue in San Mateo, CA – Reviews, Hours, and ... - Yahoo (local.yahoo.com) | Java Blue - Updated November 2025 - Checkle (checkle.com)"
7,Sunesy Hair Design,"South El Camino Real, San Mateo, California, 94402 (reverse-geocoded approximate)",(650) 437-2271,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
8,The Pantry,"1855 South Delaware Street, San Mateo, CA, 94402",(650) 345-4544,restaurant,ATTEMPTED - search error,,ERROR: No results found.
9,Bucky’s Cocktail Lounge,"101 South Boulevard, San Mateo, CA",(650) 349-4711,bar,ATTEMPTED - no likely owned-site hit,,"Bucky's Cocktail Lounge at 101 South Boulevard, San Mateo, CA... (san-mateo.calstatedir.com)"
10,Spiedo Restaurant,223 East 4th Avenue,(650) 375-0818,restaurant,ATTEMPTED - search error,,ERROR: No results found.
11,Izakaya Mai,212 2nd Avenue,(650) 347-2511,restaurant,ATTEMPTED - no likely owned-site hit,,"Izakaya MAI San Mateo CA, 94401 – Manta.com (manta.com) | Izakaya Mai San Mateo CA Asian Restaurant opening hours and ... (openingtimes.co) | Izakaya Restaurant in San Mateo, CA Ask for free quotes (cylex.us.com) | San Carlos White Pages - Phone Books in California (CA ...SMC - Home | County of San Mateo, CAProperty Tax Look-up | San Mateo County Assessor-County Clerk ...Additional Case Information - California Department of ... (whitepages.com) | SMC - Home | County of San Mateo, CA (smcgov.org)"
12,Gosch Bros Auto Pros,"124 South Amphlett Boulevard, San Mateo, CA, 94401-2941",(650) 454-4163,car_repair,ATTEMPTED - search error,,ERROR: No results found.
13,L'Vian Boutique,"317 Primrose Road, Burlingame, CA",(650) 344-4707,clothes,ATTEMPTED - search error,,ERROR: No results found.
14,V&V Nails,220 Broadway,(650) 652-9999,beauty,ATTEMPTED - no likely owned-site hit,,"Quinto Sol Redwood City - mymenuweb.com (mymenuweb.com) | QUINTO SOL | Sol Group (solrestaurantsca.com) | Quinto Sol in Redwood City, CA 94063 - 650-365... (chamberofcommerce.com) | Quinto Sol Mexican Restaurant Redwood City - East Phoenix (eastphoenixau.com) | Quinto Sol | Redwood City Improvement Association (visitrwc.org)"
15,De Design,289 Broadway,(650) 697-1210,beauty,ATTEMPTED - no likely owned-site hit,,Company profile for MsKouture | ProspectB2B (prospectb2b.com) | Ms Kouture Redwood City | Redwood City CA - Facebook (facebook.com)
16,The Kitchen,"279 El Camino Real, Milbrae, CA, 94030",(650) 692-9688,restaurant,ATTEMPTED - no likely owned-site hit,,"THE KITCHEN - Updated May 2026 - 2567 Photos & 1136 Reviews ...Contact - The KitchenOnline Menu of The Kitchen Restaurant, Millbrae, California ...The Kitchen in Millbrae, CA 94030 - 650-692...The Kitchen, Millbrae - Menu, Reviews (233), Photos (68 ...The Kitchen - Authentic Cantonese Restaurant in Millbrae, CAThe Kitchen | (650) 692-9688 | Millbrae, California - AllBiz (yelp.com) | Contact - The Kitchen (thekitchenmillbrae.net) | Online Menu of The Kitchen Restaurant, Millbrae, California ...The Kitchen in Millbrae, CA 94030 - 650-692...The Kitchen, Millbrae - Menu, Reviews (233), Photos (68 ...The Kitchen - Authentic Cantonese Restaurant in Millbrae, CAThe Kitchen | (650) 692-9688 | Millbrae, California - AllBiz (zmenu.com) | The Kitchen in Millbrae, CA 94030 - 650-692... (chamberofcommerce.com) | The Kitchen, Millbrae - Menu, Reviews (233), Photos (68 ...The Kitchen - Authentic Cantonese Restaurant in Millbrae, CAThe Kitchen | (650) 692-9688 | Millbrae, California - AllBiz (restaurantji.com)"
17,San Bruno Transmission & Auto Repair,"San Bruno Avenue East, San Bruno, California, 94066 (reverse-geocoded approximate)",(650) 589-2122,car_repair,ATTEMPTED - search error,,ERROR: No results found.
18,Fil-Am Cuisine 2,"321 Grand Avenue, South San Francisco",(650) 871-5010,fast_food,ATTEMPTED - search error,,ERROR: No results found.
