Route stop,Business,Profile image URL,Profile image source,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
1,MO's Deli & Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/-G_202d0gz6ber_bCO0ewQ/348s.jpg,https://www.yelp.com/biz/mo-s-deli-and-cafe-belmont,200,https://s3-media0.fl.yelpcdn.com/bphoto/-G_202d0gz6ber_bCO0ewQ/348s.jpg,image/jpeg,0,89,
7,Sunesy Hair Design,https://images.fresha.com/locations/location-profile-images/197145/2507697/cd351da6-b4c4-47f8-8497-e840013ddbdd.jpg?class=venue-gallery-small&f_width=1080,https://www.fresha.com/a/sunesy-hair-salon-san-mateo-2335-south-el-camino-real-qrpp8w1n,200,https://images.fresha.com/locations/location-profile-images/197145/2507697/cd351da6-b4c4-47f8-8497-e840013ddbdd.jpg?class=venue-gallery-small&f_width=1080,image/jpeg,0,82,
8,The Pantry,https://s3-media0.fl.yelpcdn.com/bphoto/ztajWcCTYzdJpSwvvNEzlg/300s.jpg,https://www.yelp.com/biz/the-pantry-san-mateo-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/ztajWcCTYzdJpSwvvNEzlg/300s.jpg,image/jpeg,0,84,
11,Izakaya Mai,https://s3-media0.fl.yelpcdn.com/bphoto/_ym3iJ4kbrgasAJ5V7HCrg/258s.jpg,https://www.yelp.com/biz/izakaya-mai-san-mateo,200,https://s3-media0.fl.yelpcdn.com/bphoto/_ym3iJ4kbrgasAJ5V7HCrg/258s.jpg,image/jpeg,0,82,
13,L'Vian Boutique,https://s3-media0.fl.yelpcdn.com/bphoto/6DRXitNCAPmSxwIkzKbcgg/o.jpg,https://www.yelp.com/biz/l-vian-boutique-burlingame,200,https://s3-media0.fl.yelpcdn.com/bphoto/6DRXitNCAPmSxwIkzKbcgg/o.jpg,image/jpeg,0,79,
14,V&V Nails,https://s3-media0.fl.yelpcdn.com/bphoto/cY6rtcA_KZON0PjLYWUHBA/300s.jpg,https://www.yelp.com/biz/v-and-v-nails-millbrae,200,https://s3-media0.fl.yelpcdn.com/bphoto/cY6rtcA_KZON0PjLYWUHBA/300s.jpg,image/jpeg,0,79,
19,South City Hair,https://s3-media0.fl.yelpcdn.com/bphoto/kj19tQIEzxHg4EMOrtcg1g/l.jpg,https://www.yelp.com/biz/south-city-hair-south-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/kj19tQIEzxHg4EMOrtcg1g/l.jpg,image/jpeg,0,76,
21,Round N Round Pot,https://s3-media0.fl.yelpcdn.com/bphoto/IqvbcKuTOKR74ZIq5Yv_Mw/348s.jpg,https://www.yelp.com/biz/round-n-round-pot-brisbane,200,https://s3-media0.fl.yelpcdn.com/bphoto/IqvbcKuTOKR74ZIq5Yv_Mw/348s.jpg,image/jpeg,0,84,
26,Western Donuts,https://s3-media0.fl.yelpcdn.com/bphoto/7xScUFDB_8XhDAIb2sNLxg/l.jpg,https://www.yelp.com/biz/western-donuts-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/7xScUFDB_8XhDAIb2sNLxg/l.jpg,image/jpeg,0,71,
29,Hayden Auto Care,https://s3-media0.fl.yelpcdn.com/bphoto/I-ovH8wdoygBi7YL6E8LfA/o.jpg,https://www.yelp.com/biz/hayden-auto-care-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/I-ovH8wdoygBi7YL6E8LfA/o.jpg,image/jpeg,0,71,
37,Java on Ocean Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/E3p1ho_PdTf2rvYccQ8pnA/l.jpg,https://www.yelp.com/biz/java-on-ocean-coffee-house-san-francisco-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/E3p1ho_PdTf2rvYccQ8pnA/l.jpg,image/jpeg,0,72,
39,Sakesan Sushi & Robata,https://s3-media0.fl.yelpcdn.com/bphoto/UG01FtEVEgFAGi019lvkyA/300s.jpg,https://www.yelp.com/biz/sakesan-sushi-and-robata-san-francisco-6,200,https://s3-media0.fl.yelpcdn.com/bphoto/UG01FtEVEgFAGi019lvkyA/300s.jpg,image/jpeg,0,81,
40,Go Go 7,https://s3-media0.fl.yelpcdn.com/bphoto/b3ge3gLbSrae7vGcyGg8dw/348s.jpg,https://www.yelp.com/biz/go-go-7-san-francisco-4,200,https://s3-media0.fl.yelpcdn.com/bphoto/b3ge3gLbSrae7vGcyGg8dw/348s.jpg,image/jpeg,0,71,
45,Pacitas Salvadorean Bakery,https://s3-media0.fl.yelpcdn.com/bphoto/cb-vad2guDn5iqXld_OqyQ/348s.jpg,https://www.yelp.com/biz/pacitas-salvadorean-bakery-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/cb-vad2guDn5iqXld_OqyQ/348s.jpg,image/jpeg,0,78,
49,Cafe Bello,https://s3-media0.fl.yelpcdn.com/bphoto/ckYO_YjD9JQNwR_q1xPmbA/348s.jpg,https://www.yelp.com/biz/bello-coffee-and-tea-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/ckYO_YjD9JQNwR_q1xPmbA/348s.jpg,image/jpeg,0,83,
50,Higher Grounds Coffee House and Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/ihk_Z3mj4UdVNz4c3tc36w/300s.jpg,https://www.yelp.com/biz/higher-grounds-coffee-house-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/ihk_Z3mj4UdVNz4c3tc36w/300s.jpg,image/jpeg,0,74,
57,Eyebrow Star,https://s3-media0.fl.yelpcdn.com/bphoto/E8OUHqX68zJcg0VU3Oo3vg/o.jpg,https://www.yelp.com/biz/eyebrow-star-beauty-and-brows-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/E8OUHqX68zJcg0VU3Oo3vg/o.jpg,image/jpeg,0,88,
60,Las Palmeras,https://s3-media0.fl.yelpcdn.com/bphoto/-gEuEtI_pgWKfVS6OgGqkQ/348s.jpg,https://www.yelp.com/biz/las-palmeras-restaurant-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/-gEuEtI_pgWKfVS6OgGqkQ/348s.jpg,image/jpeg,0,72,
62,The Jelly Donut,https://s3-media0.fl.yelpcdn.com/bphoto/0682TyE0WIsbrI1Ynp-gNw/348s.jpg,https://www.yelp.com/biz/the-jelly-donut-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/0682TyE0WIsbrI1Ynp-gNw/348s.jpg,image/jpeg,0,63,
65,Center Nails,https://s3-media0.fl.yelpcdn.com/bphoto/dykFpWDGWVKJEQnJ7m07cw/o.jpg,https://www.yelp.com/biz/center-nails-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/dykFpWDGWVKJEQnJ7m07cw/o.jpg,image/jpeg,0,80,
69,Laura's Beauty and Barber Shop,https://s3-media0.fl.yelpcdn.com/bphoto/vrZq94xATlXfuUKUQwpSLQ/o.jpg,https://www.yelp.com/biz/lauras-beauty-and-barber-shop-san-francisco?override_cta=Request+an+appointment,200,https://s3-media0.fl.yelpcdn.com/bphoto/vrZq94xATlXfuUKUQwpSLQ/o.jpg,image/jpeg,0,64,
70,The Phone Booth,https://s3-media0.fl.yelpcdn.com/bphoto/ySnp3B5PKhtysAk68-DYrQ/300s.jpg,https://www.yelp.com/biz/phone-booth-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/ySnp3B5PKhtysAk68-DYrQ/300s.jpg,image/jpeg,0,64,
72,Ariel’s Breakfast Mi Yucatan,https://s3-media0.fl.yelpcdn.com/bphoto/iBetX-VYVoj2OjXYogmsbw/o.jpg,https://www.yelp.com/biz/ariels-breakfast-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/iBetX-VYVoj2OjXYogmsbw/o.jpg,image/jpeg,0,64,
77,Las Brisas de Acapulco,https://s3-media0.fl.yelpcdn.com/bphoto/pGVF5w9wXjxMOjq1JnFhWw/l.jpg,https://www.yelp.com/biz/las-brisas-de-acapulco-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/pGVF5w9wXjxMOjq1JnFhWw/l.jpg,image/jpeg,0,60,
78,Eco Jewelers,https://s3-media0.fl.yelpcdn.com/bphoto/90ktKy7HJWYZpzXtm4Z3pQ/o.jpg,https://www.yelp.com/biz/eco-jewelers-san-francisco?rh_ident=fast&rh_type=phrase,200,https://s3-media0.fl.yelpcdn.com/bphoto/90ktKy7HJWYZpzXtm4Z3pQ/o.jpg,image/jpeg,0,95,
79,Healthy Nails,https://s3-media0.fl.yelpcdn.com/bphoto/7jaZV2vP3WFiAV3-Ci6uJA/o.jpg,https://www.yelp.com/biz/healthy-nails-san-francisco,200,https://s3-media0.fl.yelpcdn.com/bphoto/7jaZV2vP3WFiAV3-Ci6uJA/o.jpg,image/jpeg,0,92,
80,Taqueria Can-Cún,https://s3-media0.fl.yelpcdn.com/bphoto/ZVCihaisaoSRLvHDyMJ97A/258s.jpg,https://www.yelp.com/biz/taqueria-cancún-san-francisco-5,200,https://s3-media0.fl.yelpcdn.com/bphoto/ZVCihaisaoSRLvHDyMJ97A/258s.jpg,image/jpeg,0,62,
