Route stop,Business,Address,Phone,Category,Accepted profile link,Profile link search status,Profile link search evidence
1,Plantation Coffee Roastery,784 Laurel Street,(650) 592-3710,cafe,https://www.yelp.com/biz/plantation-coffee-roastery-san-carlos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
2,Elegant Hair & Nail Salon,"1344 El Camino Real, San Carlos, CA, 94070",(650) 593-5936,beauty,https://www.yelp.com/biz/elegant-nails-san-carlos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
3,Hair Pro,"912 Whipple Avenue, Redwood City, CA, 94063",(650) 367-8010,hairdresser,https://www.fresha.com/lvp/hair-pro-whipple-avenue-redwood-city-loyA3q,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
4,Estampas Peruanas,"715 El Camino Real, Redwood City",(650) 368-9340,restaurant,https://www.yelp.com/biz/estampas-peruanas-restaurant-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
5,Fabulous Hair & Nails,"2740 Broadway, Redwood City",(650) 556-9993,hairdresser,https://www.yelp.com/biz/fabulous-hair-and-nail-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
6,Shiny Nails,"2649 Broadway, Redwood City, 94063",(650) 366-1077,beauty,https://www.yelp.com/biz/shiny-nails-redwood-city-3?start=210,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
7,Naranjo's Taqueria,"2647 Broadway, Redwood City, 94063",(650) 369-9196,fast_food,https://www.yelp.com/biz/naranjos-taqueria-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
8,Peninsula Uniforms & Equipment,"2626 Broadway, Redwood City, 94063",(650) 701-0911,clothes,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
9,Kemuri Japanese Barú,"2616 Broadway, Redwood City, 94063",(650) 298-0015,restaurant,https://www.yelp.com/biz/kemuri-japanese-barú-redwood-city-3,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
10,Bluefin Sushi & Teriyaki Grill,"2327 Broadway, Redwood City, 94063",(650) 361-1160,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
11,Découpage Hair,"2317 Broadway, Redwood City, 94063",(415) 730-7843,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
12,Memole & Company,"2317 Broadway Street, Redwood City, 94063",(650) 367-7128,accountant,https://www.yelp.com/biz/robert-a-memole-cpa-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
13,Perfect 10 Nails,"1049 El Camino Real, Redwood City, 94063",(650) 216-7266,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
14,Happy Donuts,"1330 El Camino Real, Redwood City, 94063",(650) 365-6585,fast_food,https://www.yelp.com/biz/happy-donuts-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
15,Perfectly Cut,"1408 El Camino Real, Redwood City, 94063",(650) 839-0130,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
16,Muffler Express,"1414 El Camino Real, Redwood City, 94063",(650) 369-1076,car_repair,https://www.facebook.com/mufflerexpressRedwoodCity/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
17,Lynn Auto Machine,"1428 El Camino Real, Redwood City, 94063",(650) 369-7200,car_repair,https://www.yelp.com/biz/lynn-auto-machine-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
18,Nails Trix Salon,"1540 El Camino Real, Redwood City, 94063",(650) 365-3822,beauty,https://www.yelp.com/biz/nails-trix-redwood-city?start=10,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
19,Primo Auto Service,"1612 El Camino Real, Redwood City, 94063",(510) 827-0346,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
20,Wash & Dry Coin Laundry,"1708 El Camino Real, Redwood City, 94063",(650) 369-8397,laundry,https://www.yelp.com/biz/roosevelt-wash-n-dry-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
21,Faby's Jewelers,"1710 El Camino Real, Redwood City, 94063",(650) 368-4449,jewelry,https://www.yelp.com/biz/fabys-jewelers-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
22,Los Temos Taqueria,"1714 El Camino Real, Redwood City, 94063",(650) 780-0979,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
23,Languren's Beauty Salon,"1752 El Camino Real, Redwood City, 94063",(650) 366-0980,hairdresser,https://www.facebook.com/LangurensandLizettsalon/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
24,El Zarape,"1808 El Camino Real, Redwood City, 94063",(650) 363-1397,restaurant,https://www.yelp.com/biz/el-zarape-bar-and-grill-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
25,Elio's Jewelry,"411b Lathrop Street, Redwood City, 94063",(650) 701-1060,jewelry,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
26,Ben's Auto Tech,"413 Lathrop Street, Redwood City, 94063",(650) 369-3022,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
27,Family Wash and Fold,"1906 El Camino Real, Redwood City, 94063",(650) 299-9511,laundry,https://www.yelp.com/biz/family-wash-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
28,F.C. Painting,"45 Hazel Avenue, Redwood City, 94061",(650) 592-8531,painter,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
29,Tammy's Joyeria y Paqueteria,"2315 El Camino Real, Redwood City, 94063",(650) 366-8420,jewelry,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
30,Chu's Florist & Birds,"2325 El Camino Real, Redwood City, 94063",(650) 368-1613,florist,https://www.facebook.com/Chus-Florist-Birds-276560169032457/?rf=186200224873873,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
31,Ray's Auto Repair,"2333 El Camino Real, Redwood City, 94063",(650) 367-8218,car_repair,https://www.facebook.com/raysautorwc/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
32,Stuttgart Motors,"2315 El Camino Real, Redwood City, 94063",(650) 364-2989,car_repair,https://www.yelp.com/biz/stuttgart-motors-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
33,Castillo's Auto Electric,"24 Willow Street, Redwood City, 94063",(650) 361-8705,car_repair,https://www.yelp.com/biz/castillos-auto-electric-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
34,HK Smog,"24 Willow Street, Redwood City, 94063",(650) 216-0051,car_repair,https://www.yelp.com/biz/h-k-smog-redwood-city-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
35,Padilla's Auto Repair,"24 Willow Street, Redwood City, 94063",(650) 364-2930,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
36,El Camino Auto Body,"51 Charter Street, Redwood City, 94063",(650) 364-7039,car_repair,https://www.yelp.com/biz/el-camino-collision-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
37,Beauty Touch Salon,"2460 El Camino Real, Redwood City, 94063",(650) 368-8194,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
38,Laluces Dental,"2480 El Camino Real, Redwood City, 94063",(650) 216-8488,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
39,US Chinese Food,"2490 El Camino Real, Redwood City, 94063",(650) 364-7782,restaurant,https://www.yelp.com/biz/us-chinese-food-redwood-city-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
40,Nor Cal Collision,"2504B El Camino Real, Redwood City, 94061",(650) 369-3368,car_repair,https://www.yelp.com/biz/street-fx-collision-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
41,Capelli Beauty,"2567 El Camino Real, Redwood City, 94061",(650) 363-8966,beauty,https://www.facebook.com/capelli2567/services,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
42,Tacos El Camino,"2627 El Camino Real, Redwood City, 94061",(650) 366-3630,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
43,KY's Auto Repair,"2633 El Camino Real, Redwood City, 94061",(650) 364-7766,car_repair,https://www.yelp.com/biz/kys-auto-repair-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
44,La Costa,"2761 El Camino Real, Redwood City, 94061",(650) 261-0590,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
45,New Age Hair & Nail Spa,"2773 El Camino Real, Redwood City, 94061",(650) 261-1278,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
46,Karlita's Taco Place,"512 Woodside Road, Redwood City, 94061",(650) 364-8612,fast_food,https://www.yelp.com/biz/karlitas-taco-place-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
47,Men Haircuts by Lilian,"593 Woodside Road, Redwood City, 94061",(650) 365-3563,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
48,Diner Japonica,"593 Woodside Road, Redwood City, 94061",(650) 364-4649,restaurant,https://www.yelp.com/biz/diner-japonica-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
49,Villa Roma Cocktail Lounge,"593 Woodside Road, Redwood City, 94061",(650) 365-5060,bar,https://www.yelp.com/biz/the-villa-roma-cocktail-lounge-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
50,Family Hair Salon,"736 Woodside Road, Redwood City, 94061",(650) 368-3870,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
51,Nancy's Nails,"738 Woodside Road, Redwood City, 94061",(650) 369-4386,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
52,Clean Wash,"742 Woodside Road, Redwood City, 94061",(650) 369-5204,laundry,https://www.yelp.com/biz/redwood-city-car-wash-redwood-city-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
53,Pho Truong Long,"756 Woodside Road, Redwood City, 94061",(650) 369-3767,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
54,Precious Nails,"760 Woodside Road, Redwood City, 94061",(650) 368-1488,beauty,https://www.yelp.com/biz/precious-nails-redwood-city,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
55,Reflections Hair Design,"830 Woodside Road, Redwood City, 94061",(650) 568-3370,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
56,One on One Fiteness,"830 Woodside Road, Redwood City, 94061",(650) 364-4873,fitness_centre,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
57,King's Court Barber Salon,"842 Woodside Road, Redwood City, 94061",(650) 365-4247,hairdresser,https://www.yelp.com/biz/kings-court-barber-salon-redwood-city?override_cta=Request+an+appointment,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
58,Bravo! Taqueria,"980 Woodside Road, Redwood City, 94061",(650) 364-3511,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
59,Diane's Salon,"3130 Alpine Road, Portola Valley, 94028",(650) 854-6544,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
60,KJ's Cafe,"12345 El Monte Road, Los Altos Hills, CA, 94022",(650) 949-7727,cafe,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
61,Tammy Salon,387,(650) 949-4675,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
62,Paris Tailor,"353 Main Street, Los Altos, CA, 94022",(650) 941-6604,tailor,https://www.yelp.com/biz/paris-tailor-los-altos,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
