Route stop,Business,Vercel link,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
1,Plantation Coffee Roastery,https://bay-area-final-1000-websites.vercel.app/plantation-coffee-roastery-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/plantation-coffee-roastery-bay-area/,text/html; charset=utf-8,0,1895,
2,Michele's Hair Care,https://bay-area-final-1000-websites.vercel.app/micheles-hair-care-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/micheles-hair-care-bay-area/,text/html; charset=utf-8,0,1716,
3,Belmont Dental,https://bay-area-final-1000-websites.vercel.app/belmont-dental-masonic-way/,200,https://bay-area-final-1000-websites.vercel.app/belmont-dental-masonic-way/,text/html; charset=utf-8,0,1901,
4,Pilgrim Kitchen,https://bay-area-final-1000-websites.vercel.app/pilgrim-kitchen-belmont/,200,https://bay-area-final-1000-websites.vercel.app/pilgrim-kitchen-belmont/,text/html; charset=utf-8,0,1867,
5,SeeU Cafe,https://bay-area-final-1000-websites.vercel.app/seeu-cafe-foster-city/,200,https://bay-area-final-1000-websites.vercel.app/seeu-cafe-foster-city/,text/html; charset=utf-8,0,1854,
6,Java Blue (Patio Coffee Shop),https://bay-area-final-1000-websites.vercel.app/java-blue-patio-coffee-shop-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/java-blue-patio-coffee-shop-bay-area/,text/html; charset=utf-8,0,1660,
7,Sunesy Hair Design,https://bay-area-final-1000-websites.vercel.app/sunesy-hair-design-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/sunesy-hair-design-bay-area/,text/html; charset=utf-8,0,1890,
8,The Pantry,https://bay-area-final-1000-websites.vercel.app/the-pantry-san-mateo/,200,https://bay-area-final-1000-websites.vercel.app/the-pantry-san-mateo/,text/html; charset=utf-8,0,1867,
9,Bucky’s Cocktail Lounge,https://bay-area-final-1000-websites.vercel.app/buckys-cocktail-lounge-san-mateo/,200,https://bay-area-final-1000-websites.vercel.app/buckys-cocktail-lounge-san-mateo/,text/html; charset=utf-8,0,1800,
10,Spiedo Restaurant,https://bay-area-final-1000-websites.vercel.app/spiedo-restaurant-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/spiedo-restaurant-bay-area/,text/html; charset=utf-8,0,1882,
11,Izakaya Mai,https://bay-area-final-1000-websites.vercel.app/izakaya-mai-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/izakaya-mai-bay-area/,text/html; charset=utf-8,0,1851,
12,Gosch Bros Auto Pros,https://bay-area-final-1000-websites.vercel.app/gosch-bros-auto-pros-san-mateo/,200,https://bay-area-final-1000-websites.vercel.app/gosch-bros-auto-pros-san-mateo/,text/html; charset=utf-8,0,1748,
13,L'Vian Boutique,https://bay-area-final-1000-websites.vercel.app/lvian-boutique-burlingame/,200,https://bay-area-final-1000-websites.vercel.app/lvian-boutique-burlingame/,text/html; charset=utf-8,0,1800,
14,V&V Nails,https://bay-area-final-1000-websites.vercel.app/vv-nails-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/vv-nails-bay-area/,text/html; charset=utf-8,0,1839,
15,De Design,https://bay-area-final-1000-websites.vercel.app/de-design-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/de-design-bay-area/,text/html; charset=utf-8,0,1689,
16,The Kitchen,https://bay-area-final-1000-websites.vercel.app/the-kitchen-milbrae/,200,https://bay-area-final-1000-websites.vercel.app/the-kitchen-milbrae/,text/html; charset=utf-8,0,1759,
17,San Bruno Transmission & Auto Repair,https://bay-area-final-1000-websites.vercel.app/san-bruno-transmission-auto-repair-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/san-bruno-transmission-auto-repair-bay-area/,text/html; charset=utf-8,0,1886,
18,Fil-Am Cuisine 2,https://bay-area-final-1000-websites.vercel.app/fil-am-cuisine-2-south-san-francisco/,200,https://bay-area-final-1000-websites.vercel.app/fil-am-cuisine-2-south-san-francisco/,text/html; charset=utf-8,0,1854,
19,South City Hair,https://bay-area-final-1000-websites.vercel.app/south-city-hair-south-san-francisco/,200,https://bay-area-final-1000-websites.vercel.app/south-city-hair-south-san-francisco/,text/html; charset=utf-8,0,1852,
20,Melissa's Taqueria,https://bay-area-final-1000-websites.vercel.app/melissas-taqueria-brisbane/,200,https://bay-area-final-1000-websites.vercel.app/melissas-taqueria-brisbane/,text/html; charset=utf-8,0,1880,
21,Round N Round Pot,https://bay-area-final-1000-websites.vercel.app/round-n-round-pot-brisbane/,200,https://bay-area-final-1000-websites.vercel.app/round-n-round-pot-brisbane/,text/html; charset=utf-8,0,1900,
22,Pupuseria El Golazo,https://bay-area-final-1000-websites.vercel.app/pupuseria-el-golazo-bay-area/,200,https://bay-area-final-1000-websites.vercel.app/pupuseria-el-golazo-bay-area/,text/html; charset=utf-8,0,1931,
23,Tikal,https://bay-area-final-1000-websites.vercel.app/tikal-san-francisco/,200,https://bay-area-final-1000-websites.vercel.app/tikal-san-francisco/,text/html; charset=utf-8,0,1853,
24,Western Donuts,https://bay-area-final-1000-websites.vercel.app/western-donuts-san-francisco/,200,https://bay-area-final-1000-websites.vercel.app/western-donuts-san-francisco/,text/html; charset=utf-8,0,1799,
25,Ray Oliver Caoili D.D.S.,https://bay-area-final-1000-websites.vercel.app/ray-oliver-caoili-dds-san-francisco/,200,https://bay-area-final-1000-websites.vercel.app/ray-oliver-caoili-dds-san-francisco/,text/html; charset=utf-8,0,206,
26,J&J Hardware Store,https://bay-area-final-1000-websites.vercel.app/jj-hardware-store-san-francisco/,200,https://bay-area-final-1000-websites.vercel.app/jj-hardware-store-san-francisco/,text/html; charset=utf-8,0,176,
