Pass,Swap start index,Swap end index,Straight-line miles saved,Route straight-line miles after pass
1,448,997,7.865,437.853
2,620,823,2.676,435.177
3,623,761,2.533,432.644
4,586,996,2.351,430.293
5,407,429,2.103,428.190
6,587,630,1.518,426.672
7,620,716,2.186,424.486
8,683,756,1.689,422.797
9,177,412,1.252,421.544
10,985,996,1.193,420.351
11,834,836,0.946,419.406
12,568,585,0.892,418.514
13,503,535,0.808,417.705
14,924,933,0.728,416.977
15,200,227,0.719,416.258
16,620,626,0.708,415.549
17,493,516,0.685,414.864
18,3,5,0.681,414.183
19,848,857,0.667,413.516
20,821,832,0.630,412.887
21,833,954,0.591,412.295
22,820,954,4.099,408.196
23,541,549,0.572,407.624
24,587,973,0.564,407.060
25,518,535,0.529,406.532
26,642,649,0.501,406.031
27,51,182,0.456,405.575
28,165,199,0.647,404.928
29,50,181,0.739,404.189
30,974,977,0.450,403.739
31,684,697,0.418,403.322
32,589,593,0.390,402.932
33,202,228,0.383,402.549
34,203,228,0.425,402.124
35,229,272,0.404,401.720
36,878,893,0.320,401.400
37,229,233,0.315,401.085
38,66,78,0.305,400.779
39,341,369,0.254,400.525
40,341,366,0.286,400.239
41,619,631,0.211,400.029
42,618,631,0.662,399.367
43,341,359,0.198,399.169
44,419,426,0.177,398.992
45,496,505,0.174,398.819
46,226,228,0.172,398.646
47,40,47,0.160,398.487
48,99,199,0.155,398.332
49,536,540,0.151,398.180
50,82,110,0.143,398.037
51,607,611,0.137,397.900
52,419,423,0.134,397.766
53,273,280,0.132,397.634
54,992,994,0.131,397.503
55,281,284,0.124,397.379
56,72,78,0.124,397.255
57,732,735,0.120,397.135
58,732,737,0.264,396.871
59,173,175,0.120,396.751
60,963,967,0.118,396.633
